HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
13510,2.900031533,4.448303,9.26,3.15,-5.28,11.57,0.579
13526,2.9034838,5.048317,7.97,-15.48,-9.47,7.63,0.153
13530,2.904224733,13.331008,9.25,-20.32,-127.25,8.74,0.829
13532,2.9048766,20.565819,6.42,-9.34,-6.8,7.12,1.26
13533,2.904987133,15.495463,7.86,84.54,-31.53,8.57,0.418
13538,2.905793,11.309525,5.9,21.14,-9.51,8.38,0.26
13539,2.905825667,7.68022,3.33,22.32,-11.33,7.44,0.043
13543,2.906974867,9.772817,9.35,21.11,-4.8,9.6,0.585
13544,2.9071138,9.777385,6.78,18.06,6.8,10.7,0.624
13547,2.907643667,23.847184,4.44,-36.65,-15.6,9.24,0.451
13557,2.910438467,12.939234,4.83,-20.01,-16.18,8.52,0.328
13571,2.913844067,20.373067,4.26,35.7,-5.25,6.96,1.211
13579,2.915333067,17.734755,10.41,44.58,-24.46,7.01,0.28
13586,2.917055133,11.491442,5.09,-7.12,-47.28,9.08,0.545
13589,2.9180264,21.595149,16.01,146.33,-99.03,8.66,0.66
13593,2.918935667,3.486877,11.65,30.86,-10.35,6.91,0.309
13600,2.92119,17.89171,18.89,117.79,-13.2,8.83,0.704
13601,2.9215016,16.309189,38.3,203.76,-47.24,7.41,0.749
13603,2.921736667,8.137661,11.33,0.51,17.11,9.13,0.544
13611,2.9231108,10.457306,7.99,-26.5,-23.99,7.77,0.352
13627,2.925124133,22.934178,2.02,15.75,-11.12,8.96,1.763
13631,2.925639533,18.773795,17.36,282.82,-146.54,9.74,0.839
13632,2.9255952,6.307004,4.79,-11.94,-17.02,9.18,0.457
13638,2.9269936,13.178411,6.07,-28.18,-8.61,8.84,0.551
13641,2.927286867,5.496161,5.55,-14.68,-2.23,9.65,0.405
13643,2.927851933,14.70675,6.2,-13.36,-19.22,7.82,0.202
13650,2.9292194,7.281069,2.51,6.97,5.07,9.1,0.424
13654,2.930138267,18.33164,8.08,-8.08,-14.91,5.76,1.452
13669,2.933949133,12.387127,3.47,19.81,11.63,10.52,0.839
13671,2.934491267,6.174965,4.63,17.86,9.54,7.28,1.091
13674,2.935376667,7.922539,19.81,186.3,-46.04,9.93,1.055
13678,2.936662933,13.913012,23.04,-82.41,-72.34,9.03,0.81
13679,2.937158267,8.381563,22.46,69.83,-88.32,5.97,0.478
13682,2.937237067,4.048439,7.98,4.71,-5.23,7.7,0.043
13687,2.938192333,5.998688,9.48,11.77,-12.19,9,0.609
13690,2.9386696,9.300987,4.49,-19.63,-6.35,9.85,0.566
13702,2.9405986,18.023119,28.24,281.23,-218.84,5.58,0.471
13706,2.941562333,10.125896,3.89,21.77,-6.7,8.73,1.018
13723,2.9461292,21.428081,6.66,11.82,-14.11,8.77,0.345
13748,2.949635267,10.480956,13.09,94.63,-144.23,10.62,0.713
13750,2.9501756,10.16204,25.66,-61.71,-76.05,7.9,0.604
13752,2.950426067,17.23949,4.83,19.42,-20.87,8.74,0.118
13756,2.951270933,4.50103,5.86,20.77,24.44,6.15,1.623
13757,2.9514762,7.653436,11.48,50.12,-10.89,8.8,0.528
13759,2.952127133,10.803792,3.54,2.07,0.49,9.83,0.4
13762,2.952663867,3.678703,5.57,23.72,-18.49,7.59,0.418
13786,2.957958733,16.293711,7.2,76.1,-39.81,6.9,1.2
13787,2.958084333,7.778027,7.8,36.83,-47.88,8.95,0.422
13801,2.961878333,23.962381,16.51,-25.05,-92.03,9.87,0.774
13810,2.963257467,14.070043,8.05,-19.41,4.36,9.27,0.348
13813,2.963479,7.019396,10.87,-50.22,-30.86,9.06,0.614
13824,2.965228067,17.813399,5.1,24.49,-10.12,7.03,1.25
13834,2.968117067,20.668733,31.41,234.79,-31.64,5.8,0.415
13846,2.9709372,15.993168,2.81,12.98,-33.71,8.46,1.143
13855,2.973269667,19.229284,13.57,48.54,-60.45,8.78,0.652
13867,2.976665467,24.133787,4.87,9.14,-4.68,7.41,1.168
13870,2.977415867,17.676922,5.71,15.18,-3.76,8.59,0.232
13871,2.9775006,15.154514,8.82,1.88,-10.23,8.96,0.399
13878,2.979340133,13.604442,6.65,30.73,-80.89,7.27,1.047
13890,2.981067267,22.00455,3.95,3.2,-5.5,8.23,0.276
13892,2.981409,21.617728,7.1,40.49,-17.35,6.69,0.235
13893,2.981814867,19.576059,4.7,4.55,-6.27,8.28,1.111
13913,2.9862214,19.989837,10.94,51.89,-25.89,7.34,0.396
13914,2.986868267,21.340429,11.15,-13.04,-6.55,4.63,0.048
13918,2.988220467,10.210301,4.18,-3.01,-3.39,7.88,0.511
13921,2.9889976,12.002893,7.8,-28.56,26.98,10.22,0.56
13923,2.989572733,6.652102,8.65,25.64,-40.89,7.25,0
13932,2.991861533,6.339655,10.04,3.15,-29.88,9.33,0.472
13937,2.992648133,3.517576,4.72,3.96,-3.07,8.74,0.28
13940,2.993051067,5.685513,9.47,-58.97,-86.23,12.1,1.211
13950,2.994638867,9.635438,6.2,43.6,21.66,8.48,1.101
13954,2.995250467,8.907365,7.69,9.22,-14.92,4.71,-0.109
13966,2.997327867,11.977839,6.16,6.74,-31.53,9.44,0.725
13967,2.9974922,7.526684,7.28,32.06,-1.52,8.95,0.473
13974,3.000169067,7.102449,10.69,38.14,-93.58,9.64,0.644
13976,3.0007814,7.749752,42.66,329.79,19.67,7.97,0.926
13977,3.000854933,9.178807,17.99,120.6,139.67,10.03,0.84
13982,3.00143,10.656014,13.11,139.87,-77.08,7.51,0.475
14021,3.0087514,18.004974,7.79,-2.61,-26.24,6.74,0.046
14023,3.010027067,5.986063,30.87,698.12,-157.87,8.11,0.838
14024,3.0101066,22.828998,6.89,0.44,11.19,7.13,1.098
14036,3.012261533,10.870388,7.39,81.25,-34.38,5.93,1.593
14037,3.0127978,12.984818,4.58,27.08,-10.71,8.53,1.348
14039,3.0136406,10.244312,3.33,11.29,-3.44,7.69,1.367
14048,3.014850533,15.03117,13.98,-74.85,-74.23,7.31,0.553
14054,3.0160512,5.287937,11.69,189.55,-95.1,8.16,0.914
14062,3.0197086,19.402775,7.23,12.38,-27.72,8.44,0.513
14069,3.0214728,14.982244,4.22,39.08,-50.73,7.78,0.656
14071,3.021897733,4.996266,1.71,21.64,-24.26,10.93,0.579
14075,3.022968667,6.249124,15.17,36.3,-89.8,8.82,0.741
14089,3.0279438,16.315441,0.69,22.32,-18.98,8.58,1.08
14096,3.030519533,8.153739,1.22,9.25,-9.37,9.23,1.512
14098,3.030719667,16.518033,12.33,183.55,-59.25,8.24,0.504
14104,3.031195333,5.336152,6.62,43.23,19.71,6.24,1.041
14111,3.032313067,13.239347,6.78,83.96,-40.09,9.37,0.427
14126,3.036303933,7.855835,5.95,28.85,-3.35,10.01,0.51
14129,3.037107133,23.427728,8.22,7.11,-6.7,8.51,0.175
14132,3.037660733,18.329183,11.94,114.8,-62.11,9.6,0.655
14135,3.037992267,4.089734,14.82,-11.81,-78.76,2.54,1.63
14140,3.03881,19.085489,5.85,1.44,-7.03,9.88,1.115
14141,3.038903733,18.443766,3.81,11.21,-8.07,9.35,1.213
14143,3.039588333,4.352884,7.32,16.7,5.64,5.62,-0.107
14152,3.0409468,22.373501,13.81,101.08,-31.7,7.92,0.506
14169,3.045124867,7.066737,4.57,2.05,2.71,9.91,0.477
14172,3.045710867,11.012724,4.8,-4.13,-9.46,8.1,0.529
14174,3.046147933,3.630705,6.64,47.39,6.96,9.26,0.611
14175,3.046266867,12.354023,19.33,196.19,14.14,10.21,1.382
14176,3.046846133,8.471845,6.07,7.81,-28.63,8.2,1.422
14183,3.048212133,17.565564,4.53,2.64,-8.11,8.97,0.45
14201,3.0523248,19.801416,4.18,18.26,-9.84,9.02,0.407
14203,3.052658267,20.336215,3.21,13.86,-4.45,7.96,1.595
14211,3.0538054,22.369838,23.43,26.62,40.59,10.78,1.14
14214,3.054588267,10.924298,2.97,-4.78,-14.07,8.26,1.408
14228,3.057823733,6.226691,13.18,-11.76,-54.7,6.72,0.342
14230,3.057959867,23.06148,29.62,111.75,3.47,7.09,0.624
14236,3.059256067,14.470711,6.67,-21.46,-34.14,7.86,1.05
14258,3.0641152,6.133298,31.75,231.78,48.42,6.92,0.552
14261,3.065214667,5.242236,13.2,8.61,-190.59,11.54,1.3
14266,3.066012067,7.281699,6.98,9.39,-0.13,8.08,0.348
14274,3.066961667,9.665319,4.26,-9.33,-11.81,9.32,0.408
14292,3.070889533,21.472892,2.73,5.17,-6.17,7.29,1.079
14298,3.072285067,11.136141,8.89,0.64,-50.57,8.79,0.552
14310,3.076535467,21.723979,2.21,-13.24,-7.32,8.45,1.427
14318,3.077956867,15.856023,5.17,-11.92,-91.94,6.37,1.4
14319,3.078046933,9.028367,5.1,21.06,-13.91,8.45,1.115
14329,3.0804554,13.797461,5.48,26.86,-12.84,7.36,0.943
14334,3.0806196,8.113607,7.77,7.13,11.85,9.99,0.6
14343,3.082742067,12.66,3.8,34.08,-22.26,8.74,1.194
14352,3.0847628,3.997183,7.61,-17.06,-19.71,9.92,0.568
14360,3.088187533,10.308453,4.84,-5.57,-3.47,9.68,0.912
14362,3.088455333,3.766726,3.58,2.89,0.64,9.89,0.4
14378,3.0917444,20.902374,7.78,27.45,-27.64,7.73,0.3
14384,3.0925944,6.19549,7.56,18.18,-25.27,9.74,0.553
14390,3.094022333,6.117436,3,31.34,-4.38,7.68,1.339
14391,3.094338733,18.692046,2.77,6.36,-2.96,9.97,1.027
14394,3.094726,23.094043,3.56,-11.21,-6.17,7.67,1.641
14403,3.096492267,18.179791,5.33,-4.76,-0.74,8.51,0.34
14404,3.096588733,14.267614,3.64,-0.84,-28.96,8.94,0.524
14421,3.1030802,4.823632,4.81,-4.54,-24.38,8.44,1.058
14433,3.104756467,11.665286,3.84,17.75,-9.51,7.12,1.82
14436,3.1058764,10.805657,3.52,-15.26,-19.77,9.96,1.027
14437,3.1062002,5.27852,3.14,26.51,-8.51,9.67,0.42
14438,3.106262267,3.810128,1.91,14.83,4.61,7.77,0.163
14439,3.106579333,13.18725,10.21,-3.31,-62.68,5.64,1.087
14451,3.109083733,24.221403,2.5,-5.47,-0.61,8.68,1.058
14454,3.109257267,5.625016,3.88,-2.89,-6.84,7.94,0.971
14477,3.113944,5.65004,7.82,56.57,-54.85,8.21,0.417
14481,3.1145756,20.861978,3.09,27.83,-32,8.49,0.629
14484,3.11633,19.628268,3.76,-11.36,7.01,10.11,0.959
14493,3.1195428,19.364032,3.78,19.8,-40.7,8.31,1.036
14496,3.120766867,5.019856,1.27,-5.46,5.56,8.4,1.457
14497,3.121342933,15.203088,4.63,11.18,-23.34,8.03,1.54
14500,3.1215282,16.077517,8.23,0.72,9.3,9.64,0.833
14504,3.122066667,8.395608,5.01,-11.19,-13.11,9.04,0.61
14514,3.123797933,17.879995,4.32,-23.54,9.3,6.13,-0.123
14531,3.1274164,22.572332,4.9,25.22,-26.35,8.98,1.064
14536,3.127901067,7.245869,6.97,4.8,-4.95,9.01,0.36
14550,3.130757067,16.073227,4.07,2.41,-22.95,9.4,1.18
14554,3.131173933,23.687926,10.13,35.43,-50.02,7.97,0.32
14556,3.132302133,7.256172,6.61,7.49,-4.03,8.08,0.225
14567,3.1349336,16.925461,6.97,-27.89,-3.36,8.32,0.4
14569,3.135113133,17.027377,6.16,-23.47,-1.22,7.67,0.401
14572,3.1356966,22.659595,5.92,10.28,-16.52,9.53,0.379
14579,3.136889133,13.170113,4.24,33.84,14.03,8.1,1.245
14586,3.139196933,18.795053,5.72,37.88,-14.33,6.24,1.56
14590,3.140240667,6.723459,5.92,18.93,21.6,7.65,0.972
14591,3.1403214,10.795874,8.11,-61.91,-31.87,7.3,0.437
14600,3.141081,7.643021,11.13,-16.38,-19.14,7.01,0.279
14601,3.1419124,10.445897,0.89,66.42,-88.06,9.81,0.473
14603,3.142487133,8.868746,1.96,-32.1,3.38,9.87,0.678
14606,3.143989467,12.378233,8.53,-26.47,-24.46,9.11,0.411
14607,3.144108733,8.47107,6.97,-3.4,73.32,6.28,1.026
14614,3.145640467,15.334827,24.44,68.85,-194.89,7.85,0.642
14630,3.150052,9.71167,0.2,8.52,-10.87,8.39,1.568
14631,3.150261467,12.85967,7.46,-4.64,7.6,7.23,0.92
14636,3.151955733,12.119576,3.67,-8.13,-20.04,10.54,0.866
14640,3.1529248,7.460419,13.02,-4.93,0.98,7.62,0.441
14649,3.155592267,20.761123,6.44,51.46,-11.77,6.41,1.241
14672,3.1596178,19.380733,4.66,27.38,-7.52,6.86,0.113
14675,3.159966733,19.031721,1.27,0.3,1.61,9.01,0.903
14676,3.160095867,5.20288,13.83,71.03,-28.47,7.99,0.58
14679,3.160556667,16.904696,4.88,11.15,-15,8.82,0.364
14682,3.161265733,17.260874,3.44,-13.23,-39.69,7.74,1.546
14683,3.161673333,17.660911,3.11,-2.75,-11.24,8.5,0.279
14689,3.162682267,20.000992,4.64,20.16,-49.78,7.49,1.222
14694,3.164089667,13.767767,4.69,11.2,-8.93,8.35,0.161
14702,3.1656644,6.704822,9.95,109.46,-57.2,8.16,0.761
14705,3.166575267,15.373237,21.3,-96.99,-281.02,9.06,0.825
14711,3.167813067,12.996819,20.47,-120.41,-164.81,11.13,1.01
14715,3.1684848,21.747143,11.4,29.57,-8.16,7.53,0.293
14716,3.168486133,9.816286,9.56,-12.37,-28.61,10.95,0.642
14721,3.1694182,18.345566,17.55,163.7,-58.68,8.69,0.682
14727,3.170706667,21.271941,2.77,26.75,-4.73,7.59,1.029
14729,3.1708774,12.050509,36.96,245.15,-153.65,9.38,1.15
14731,3.170963533,5.908771,57.53,-128.26,-551.33,11.82,1.5
14735,3.1715992,16.813495,3.01,-2.02,-12.77,7.7,0.039
14746,3.1737664,4.258175,8.75,13.34,-5.12,9.2,0.398
14751,3.174372933,15.990505,10.57,-3.48,48.03,7.9,0.343
14764,3.177442667,11.872627,6.24,30.74,-26.98,5.97,-0.061
14767,3.177747867,21.892646,6.65,-29.16,-78.05,7.22,1.065
14778,3.180320867,10.005896,1.06,30.08,10.35,6.95,1.726
14792,3.1836384,9.989652,5.13,165.72,-22.58,9.65,0.604
14802,3.185994333,6.867073,2.73,8.03,7.62,7.99,1.089
14803,3.186200933,9.196367,19.13,238.1,-71.82,11.31,1.25
14804,3.186172533,7.17402,6.06,24.32,-14.11,7.84,0.451
14807,3.186760267,22.422992,19.36,59.21,-129.85,10.55,NA
14809,3.1871784,22.415865,20.24,56.04,-125.11,8.51,0.71
14810,3.1872862,21.097359,18.91,-3.01,-53.57,8.52,0.777
14818,3.188516667,20.901569,2.94,-4.73,11.2,8.75,1.371
14821,3.189421867,13.047845,9.47,-15.66,17.08,6.11,1.038
14829,3.191558733,5.588943,3.24,30.08,-11.85,9.54,0.436
14835,3.192884133,4.723263,4.77,-5.66,-9.17,7.93,0.904
14838,3.193823733,19.726677,19.44,154.61,-8.39,4.35,1.033
14842,3.195012933,8.118782,3.65,23.3,17.76,8.55,0.049
14843,3.195187467,11.141712,6.61,10.03,-124.12,9.14,0.678
14847,3.195655133,23.987068,2.45,-0.45,-11.02,8.85,0.47
14861,3.1988776,10.964451,2.37,2.82,-14.19,8.87,1.176
14863,3.1989852,16.165988,4.6,-3.94,-5.79,7.46,1.61
14897,3.204222667,14.039531,2.53,23.44,-1.55,8.78,1.671
14901,3.204493267,17.301087,3.45,-9.97,-5.28,8.4,0.335
14906,3.206305533,10.326395,3.05,-7.43,-5.56,9.91,0.739
14908,3.206874467,22.880583,12.61,-10.53,34.93,8.82,0.559
14909,3.206905067,15.04263,8.63,11.66,-34.33,10.57,0.584
14910,3.206914333,16.516735,7.68,-5.85,-15.19,7.33,0.181
14915,3.207323667,6.660883,4.18,-8.09,-1.26,5.55,1.011
14929,3.209142333,18.943572,9.58,12.22,-22.94,8.42,0.526
14937,3.210100667,3.961061,6.34,26.35,-3.91,9.41,0.587
14950,3.211957667,3.464827,8.05,-43.67,-44.4,9.76,0.587
14961,3.214214333,4.81939,3.26,-3.06,-3.34,11.28,1.439
14971,3.216681867,17.132225,8.21,35.48,-10.83,8.52,0.46
14974,3.2172476,20.729908,19.2,-44.39,-65.23,8.65,0.617
14977,3.217558867,11.268633,3.8,10.03,-6.31,7.8,0.661
14992,3.2204486,3.821107,15.89,273.22,-225.92,9.85,0.94
14993,3.22081,21.644716,3.41,64.98,-38.58,8.23,0.496
14996,3.221149533,6.423987,2.8,10.49,-13.19,9.45,1.392
14997,3.2218746,11.553611,16.3,26.46,-19.44,9.18,0.712
15015,3.225999267,7.798744,3.98,35.28,1.95,9.24,0.473
