n,identifier,prob_member,Otype,RA,RA_J2000,DE,DE_J2000,Sp_type
1,[BKM2008] HB9Ic06-530l,25,*,04 22 59.0000,4.383055556,+14 19.8,14.33,~
2,HD 27534,100,*iC,04 21 32.2681,4.358963361,+18 25 03.2915,18.41758097,F5V
3,Cl* Melotte 25 CFHT 15,75,LM?,04 27 06.4000,4.451777778,+16 25 48,16.43,~
4,[BKM2008] HB1Ic08-1689l,25,*,04 25 37.7000,4.427138889,+17 20 13,17.33694444,~
5,2MASS J04291927+1317214,25,*,04 29 19.2800,4.488688889,+13 17 21.5,13.28930556,~
6,[BKM2008] HA2Ic03-781s,75,LM?,04 27 06.6000,4.451833333,+16 25 46,16.42944444,~
7,HD 30869,100,*,04 51 49.9877,4.863885472,+13 39 18.5484,13.65515233,F5
8,[BKM2008] HA6Ic02-1202l,25,*,04 29 56.0000,4.498888889,+16 31.5,16.525,~
9,[BKM2008] HB12c11-86l,25,*,04 31 06.1000,4.518361111,+14 20 46,14.34611111,~
10,Cl* Melotte 25 LH 117,25,*iC,04 26 47.9200,4.446644444,+14 11 59.7,14.19991667,~
11,[BKM2008] HC06c01-591l,25,*,04 18 47.0000,4.313055556,+18 31.3,18.52166667,~
12,[BKM2008] HB7Ic08-324l,25,*,04 21 33.0000,4.359166667,+15 09.8,15.16333333,~
13,V* V993 Tau,100,BY*,04 27 35.8898,4.459969389,+15 35 21.0834,15.58918983,G0
14,LTT 10969,100,PM*,02 58 05.2222,2.968117278,+20 40 07.4544,20.66873733,F5IV
15,[BKM2008] HC17c02-1196l,25,*,04 35 46.8000,4.596333333,+15 39 41,15.66138889,~
16,[BKM2008] HA13c08-1866l,25,*,04 29 06.1000,4.485027778,+15 00 35,15.00972222,~
17,Cl* Melotte 25 LH 132,25,*iC,04 25 56.5700,4.432380556,+16 13 08.7,16.21908333,~
18,[BKM2008] HC13c09-1062l,25,*,04 27 30.0000,4.458333333,+13 51.1,13.85166667,~
19,2MASS J04264070+1804182,25,*,04 26 40.7000,4.444638889,+18 04 18.3,18.07175,~
