"id","catalog"
"13532","hipparcos"
"13533","hipparcos"
"13547","hipparcos"
"13571","hipparcos"
"13579","hipparcos"
"13589","hipparcos"
"13600","hipparcos"
"13601","hipparcos"
"13627","hipparcos"
"13631","hipparcos"
"13643","hipparcos"
"13654","hipparcos"
"13702","hipparcos"
"13723","hipparcos"
"13752","hipparcos"
"13786","hipparcos"
"13801","hipparcos"
"13824","hipparcos"
"13846","hipparcos"
"13855","hipparcos"
"13867","hipparcos"
"13870","hipparcos"
"13871","hipparcos"
"13890","hipparcos"
"13892","hipparcos"
"13893","hipparcos"
"13913","hipparcos"
"13914","hipparcos"
"14021","hipparcos"
"14024","hipparcos"
"14048","hipparcos"
"14062","hipparcos"
"14069","hipparcos"
"14089","hipparcos"
"14098","hipparcos"
"14129","hipparcos"
"14132","hipparcos"
"14140","hipparcos"
"14141","hipparcos"
"14152","hipparcos"
"14183","hipparcos"
"14201","hipparcos"
"14203","hipparcos"
"14211","hipparcos"
"14230","hipparcos"
"14236","hipparcos"
"14292","hipparcos"
"14310","hipparcos"
"14318","hipparcos"
"14378","hipparcos"
"14391","hipparcos"
"14394","hipparcos"
"14403","hipparcos"
"14451","hipparcos"
"14481","hipparcos"
"14484","hipparcos"
"14493","hipparcos"
"14497","hipparcos"
"14500","hipparcos"
"14514","hipparcos"
"14531","hipparcos"
"14550","hipparcos"
"14554","hipparcos"
"14567","hipparcos"
"14569","hipparcos"
"14572","hipparcos"
"14586","hipparcos"
"14614","hipparcos"
"14649","hipparcos"
"14672","hipparcos"
"14675","hipparcos"
"14679","hipparcos"
"14682","hipparcos"
"14683","hipparcos"
"14689","hipparcos"
"14705","hipparcos"
"14715","hipparcos"
"14721","hipparcos"
"14727","hipparcos"
"14735","hipparcos"
"14751","hipparcos"
"14767","hipparcos"
"14807","hipparcos"
"14809","hipparcos"
"14810","hipparcos"
"14818","hipparcos"
"14838","hipparcos"
"14847","hipparcos"
"14863","hipparcos"
"14901","hipparcos"
"14908","hipparcos"
"14909","hipparcos"
"14910","hipparcos"
"14929","hipparcos"
"14971","hipparcos"
"14974","hipparcos"
"14993","hipparcos"
"15038","hipparcos"
"15048","hipparcos"
"15052","hipparcos"
"15057","hipparcos"
"15062","hipparcos"
"15064","hipparcos"
"15072","hipparcos"
"15098","hipparcos"
"15100","hipparcos"
"15109","hipparcos"
"15110","hipparcos"
"15129","hipparcos"
"15134","hipparcos"
"15137","hipparcos"
"15153","hipparcos"
"15189","hipparcos"
"15198","hipparcos"
"15227","hipparcos"
"15249","hipparcos"
"15267","hipparcos"
"15268","hipparcos"
"15278","hipparcos"
"15283","hipparcos"
"15341","hipparcos"
"15380","hipparcos"
"15381","hipparcos"
"15394","hipparcos"
"15412","hipparcos"
"15506","hipparcos"
"15509","hipparcos"
"15513","hipparcos"
"15519","hipparcos"
"15525","hipparcos"
"15536","hipparcos"
"15546","hipparcos"
"15550","hipparcos"
"15552","hipparcos"
