id_sym,id_hip,tipo
HD 27534,20350,efectiva
HD 30869,22607,efectiva
HD 28608,21066,efectiva
HD 28363,20916,efectiva
HD 28069,20693,efectiva
HD 28911,21267,efectiva
HD 27524,20349,efectiva
HD 27732,20480,efectiva
HD 27771,20492,efectiva
HD 27561,20357,efectiva
HD 27685,20441,efectiva
HD 26345,19504,efectiva
HD 26784,19796,efectiva
HD 28406,20948,efectiva
HD 26756,19781,efectiva
HD 30738,22524,efectiva
HD 28033,20712,efectiva
HD 28394,20935,efectiva
HD 27731,20491,efectiva
HD 29225,21474,efectiva
HD 30810,22550,efectiva
HD 27848,20567,efectiva
HD 27808,20557,efectiva
HD 20439,15310,efectiva
LP 19-731,21008,estimada
LP 15-640,21053,estimada
* del Tau,20455,estimada
* 77 Tau,20885,estimada
HR 1201,18170,estimada
V* V897 Tau,20577,estimada
V* V1099 Tau,19877,estimada
V* V911 Tau,20741,estimada
V* V985 Tau,20082,estimada
V* V920 Tau,20899,estimada
V* V938 Tau,21317,estimada
* gam Tau,20205,estimada
* 101 Tau,23214,estimada
V* V984 Tau,19934,estimada
V* V993 Tau,20815,estimada
* 45 Tau,19554,estimada
NAME PHI 342,20661,estimada
* eps Tau,20889,estimada
HR 1279,19261,estimada
V* V921 Tau,20951,estimada
* 55 Tau,20215,estimada
V* V1116 Tau,21459,estimada
* 61 Ori,28614,estimada
LTT 10969,13834,estimada
HR 1436,21152,estimada
HR 1233,18658,estimada
